Time_Point,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5,Signal 6,Signal 7,Signal 8
1,25,25.05,0.67,0.63,0.522,-0.478,0.243525,0.0261
2,25.2,25.25,0.78,0.54,0.5702,-0.4298,0.2382,0.0259
3,25.2,25.25,0.78,0.54,0.5702,-0.4298,0.2382,0.0259
4,25.25,25.3,0.81,0.52,0.5821,-0.4179,0.236349,0.0258
5,25.25,25.3,0.81,0.52,0.5821,-0.4179,0.236349,0.0258
6,25.15,25.2,0.75,0.56,0.5583,-0.4417,0.239849,0.026
7,25.35,25.4,0.87,0.48,0.6055,-0.3945,0.232063,0.0255
8,25.55,25.6,0.99,0.41,0.6509,-0.3491,0.221358,0.0247
9,25.3,25.35,0.84,0.5,0.5939,-0.4061,0.234301,0.0257
10,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
11,25.4,25.3,0.9,0.46,0.6171,-0.3829,0.229642,0.0254
12,25.6,25.65,1.03,0.39,0.6619,-0.3381,0.218283,0.0245
13,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
14,25.4,25.45,0.9,0.46,0.6171,-0.3829,0.229642,0.0254
15,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
16,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
17,25.45,25.45,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
18,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
19,25.6,25.65,1.03,0.39,0.6619,-0.3381,0.218283,0.0245
20,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
21,25.5,25.55,0.96,0.42,0.6398,-0.3602,0.224282,0.025
22,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
23,25.5,25.55,0.96,0.42,0.6398,-0.3602,0.224282,0.025
24,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
25,25.45,25.5,0.93,0.44,0.6285,-0.3715,0.227046,0.0252
26,25.4,25.45,0.9,0.46,0.6171,-0.3829,0.229642,0.0254
27,25.25,25.15,0.81,0.52,0.5821,-0.4179,0.236349,0.0258
28,25.35,25.4,0.87,0.48,0.6055,-0.3945,0.232063,0.0255
29,25.25,25.3,0.81,0.52,0.5821,-0.4179,0.236349,0.0258
30,25.3,25.4,0.84,0.5,0.5939,-0.4061,0.234301,0.0257
31,25.4,25.45,0.9,0.46,0.6171,-0.3829,0.229642,0.0254
32,25.4,25.55,0.9,0.46,0.6171,-0.3829,0.229642,0.0254
